h2s,tz=0,v=1.5
time,h2s,so2
1681616460,4.760e-01,NaN
1681616520,4.920e-01,NaN
1681616580,5.020e-01,NaN
1681616640,4.790e-01,NaN
1681616880,NaN,2.000e-01
1681616940,NaN,2.000e-01
1681617000,NaN,2.000e-01
1681617060,NaN,2.000e-01
1681617120,NaN,2.000e-01
1681617180,NaN,2.000e-01
1681617480,4.820e-01,NaN
1681617540,4.980e-01,NaN
1681617600,5.280e-01,NaN
1681617660,5.100e-01,NaN
1681617720,5.040e-01,NaN
1681617780,4.970e-01,NaN
1681617840,4.810e-01,NaN
1681618080,NaN,2.000e-01
1681618140,NaN,2.000e-01
1681618200,NaN,2.000e-01
1681618260,NaN,2.000e-01
1681618320,NaN,2.000e-01
1681618380,NaN,2.000e-01
1681618440,NaN,2.000e-01
1681618680,5.080e-01,NaN
1681618740,5.630e-01,NaN
1681618800,5.890e-01,NaN
1681618860,6.260e-01,NaN
1681618920,6.890e-01,NaN
1681618980,7.000e-01,NaN
1681619040,6.940e-01,NaN
1681619280,NaN,2.000e-01
1681619340,NaN,2.000e-01
1681619400,NaN,2.000e-01
1681619460,NaN,2.000e-01
1681619520,NaN,2.000e-01
1681619580,NaN,2.000e-01
1681619640,NaN,2.000e-01
1681619880,7.130e-01,NaN
1681619940,7.270e-01,NaN
1681620000,7.140e-01,NaN
1681620060,7.420e-01,NaN
1681620120,7.700e-01,NaN
1681620180,7.640e-01,NaN
1681620240,7.490e-01,NaN
1681620480,NaN,2.000e-01
1681620540,NaN,2.000e-01
1681620600,NaN,2.000e-01
1681620660,NaN,2.000e-01
1681620720,NaN,2.000e-01
1681620780,NaN,2.000e-01
1681620840,NaN,2.000e-01
1681621080,7.580e-01,NaN
1681621140,7.160e-01,NaN
1681621200,6.720e-01,NaN
1681621260,6.750e-01,NaN
1681621320,6.800e-01,NaN
1681621380,6.890e-01,NaN
1681621440,7.360e-01,NaN
1681621680,NaN,2.000e-01
1681621740,NaN,2.000e-01
1681621800,NaN,2.000e-01
1681621860,NaN,2.000e-01
1681621920,NaN,2.000e-01
1681621980,NaN,2.000e-01
1681622040,NaN,2.000e-01
1681622280,7.810e-01,NaN
1681622340,8.140e-01,NaN
1681622400,8.670e-01,NaN
1681622460,9.090e-01,NaN
1681622520,8.900e-01,NaN
1681622580,8.760e-01,NaN
1681622640,8.490e-01,NaN
1681622880,NaN,2.000e-01
1681622940,NaN,2.000e-01
1681623000,NaN,2.000e-01
1681623060,NaN,2.000e-01
1681623120,NaN,2.000e-01
1681623180,NaN,2.000e-01
1681623240,NaN,2.000e-01
1681623480,8.140e-01,NaN
1681623540,7.880e-01,NaN
1681623600,7.970e-01,NaN
1681623660,7.730e-01,NaN
1681623720,7.590e-01,NaN
1681623780,7.390e-01,NaN
1681623840,7.390e-01,NaN
1681624080,NaN,2.000e-01
1681624140,NaN,2.000e-01
1681624200,NaN,2.000e-01
1681624260,NaN,2.000e-01
1681624320,NaN,2.000e-01
1681624380,NaN,2.000e-01
1681624440,NaN,2.000e-01
1681624680,7.260e-01,NaN
1681624740,7.040e-01,NaN
1681624800,7.120e-01,NaN
1681624860,7.600e-01,NaN
1681624920,8.030e-01,NaN
1681624980,9.020e-01,NaN
1681625040,1.013e+00,NaN
1681625280,NaN,2.000e-01
1681625340,NaN,2.000e-01
1681625400,NaN,2.000e-01
1681625460,NaN,2.000e-01
1681625520,NaN,2.000e-01
1681625580,NaN,2.000e-01
1681625640,NaN,2.000e-01
1681625880,1.157e+00,NaN
1681625940,1.329e+00,NaN
1681626000,1.468e+00,NaN
1681626060,1.568e+00,NaN
1681626120,1.619e+00,NaN
1681626180,1.591e+00,NaN
1681626240,1.559e+00,NaN
1681626480,NaN,2.000e-01
1681626540,NaN,2.000e-01
1681626600,NaN,2.000e-01
1681626660,NaN,2.000e-01
1681626720,NaN,2.000e-01
1681626780,NaN,2.000e-01
1681626840,NaN,2.000e-01
1681627080,1.510e+00,NaN
1681627140,1.409e+00,NaN
1681627200,1.321e+00,NaN
1681627260,1.222e+00,NaN
1681627320,1.104e+00,NaN
1681627380,1.098e+00,NaN
1681627440,1.097e+00,NaN
1681627680,NaN,2.000e-01
1681627740,NaN,2.000e-01
1681627800,NaN,2.000e-01
1681627860,NaN,2.000e-01
1681627920,NaN,2.000e-01
1681627980,NaN,2.000e-01
1681628040,NaN,2.000e-01
1681628280,1.056e+00,NaN
1681628340,9.790e-01,NaN
1681628400,9.410e-01,NaN
1681628460,8.670e-01,NaN
1681628520,7.910e-01,NaN
1681628580,7.670e-01,NaN
1681628640,7.600e-01,NaN
1681628880,NaN,2.000e-01
1681628940,NaN,2.000e-01
1681629000,NaN,2.000e-01
1681629060,NaN,2.000e-01
1681629120,NaN,2.000e-01
1681629180,NaN,2.000e-01
1681629240,NaN,2.000e-01
1681629300,NaN,2.000e-01
1681629480,7.720e-01,NaN
1681629540,7.930e-01,NaN
1681629600,8.390e-01,NaN
1681629660,9.150e-01,NaN
1681629720,9.260e-01,NaN
1681629780,9.310e-01,NaN
1681629840,9.670e-01,NaN
1681630080,NaN,2.000e-01
1681630140,NaN,2.000e-01
1681630200,NaN,2.000e-01
1681630260,NaN,2.000e-01
1681630320,NaN,2.000e-01
1681630380,NaN,2.000e-01
1681630440,NaN,2.000e-01
1681630680,9.140e-01,NaN
1681630740,8.600e-01,NaN
1681630800,8.470e-01,NaN
1681630860,7.770e-01,NaN
1681630920,7.310e-01,NaN
1681630980,7.500e-01,NaN
1681631040,7.350e-01,NaN
1681631100,7.210e-01,NaN
1681631280,NaN,2.000e-01
1681631340,NaN,2.000e-01
1681631400,NaN,2.000e-01
1681631460,NaN,2.000e-01
1681631520,NaN,2.000e-01
1681631580,NaN,2.000e-01
1681631640,NaN,2.000e-01
1681631940,7.360e-01,NaN
1681632000,7.520e-01,NaN
1681632060,7.770e-01,NaN
1681632120,7.820e-01,NaN
1681632180,7.860e-01,NaN
1681632240,7.930e-01,NaN
1681632480,NaN,2.000e-01
1681632540,NaN,2.000e-01
1681632600,NaN,2.000e-01
1681632660,NaN,2.000e-01
1681632720,NaN,2.000e-01
1681632780,NaN,2.000e-01
1681632840,NaN,2.000e-01
1681632900,NaN,2.000e-01
1681633080,7.680e-01,NaN
1681633140,7.550e-01,NaN
1681633200,7.490e-01,NaN
1681633260,7.060e-01,NaN
1681633320,6.680e-01,NaN
1681633380,6.680e-01,NaN
1681633440,6.540e-01,NaN
1681633500,6.440e-01,NaN
1681633680,NaN,2.000e-01
1681633740,NaN,2.000e-01
1681633800,NaN,2.000e-01
1681633860,NaN,2.000e-01
1681633920,NaN,2.000e-01
1681633980,NaN,2.000e-01
1681634040,NaN,2.000e-01
1681634280,6.590e-01,NaN
1681634340,6.820e-01,NaN
1681634400,6.970e-01,NaN
1681634460,7.020e-01,NaN
1681634520,7.140e-01,NaN
1681634580,7.170e-01,NaN
1681634640,7.240e-01,NaN
1681634880,NaN,2.000e-01
1681634940,NaN,2.000e-01
1681635000,NaN,2.000e-01
1681635060,NaN,2.000e-01
1681635120,NaN,2.000e-01
1681635180,NaN,2.000e-01
1681635240,NaN,2.000e-01
1681635300,NaN,2.000e-01
1681635480,7.170e-01,NaN
1681635540,7.400e-01,NaN
1681635600,7.470e-01,NaN
1681635660,7.520e-01,NaN
1681635720,7.390e-01,NaN
1681635780,7.130e-01,NaN
1681635840,6.980e-01,NaN
1681636080,NaN,2.000e-01
1681636140,NaN,2.000e-01
1681636200,NaN,2.000e-01
1681636260,NaN,2.000e-01
1681636320,NaN,2.000e-01
1681636380,NaN,2.000e-01
1681636440,NaN,2.000e-01
1681636680,6.740e-01,NaN
1681636740,7.150e-01,NaN
1681636800,7.540e-01,NaN
1681636860,7.780e-01,NaN
1681636920,8.130e-01,NaN
1681636980,8.370e-01,NaN
1681637040,8.610e-01,NaN
1681637100,8.650e-01,NaN
1681637280,NaN,2.000e-01
1681637340,NaN,2.000e-01
1681637400,NaN,2.000e-01
1681637460,NaN,2.000e-01
1681637520,NaN,2.000e-01
1681637580,NaN,2.000e-01
1681637640,NaN,2.000e-01
1681637700,NaN,2.000e-01
1681637880,8.630e-01,NaN
1681637940,8.510e-01,NaN
