rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1681653000,1.670e+01,8.001e+00,4.515e-01,2.162e-01
1681653600,4.306e+00,2.000e+00,1.164e-01,2.705e-02
1681654200,1.938e+01,1.050e+01,5.237e-01,2.838e-01
1681654800,1.713e+01,1.000e+00,4.631e-01,2.705e-02
1681655400,1.064e+01,9.486e+00,2.876e-01,2.564e-01
1681656000,8.706e+00,2.000e+00,2.353e-01,2.705e-02
1681656600,1.964e+01,9.001e+00,5.308e-01,2.433e-01
1681657200,1.301e+01,8.501e+00,3.516e-01,2.298e-01
1681657800,8.706e+00,1.000e+00,2.353e-01,2.705e-02
1681658400,1.733e+01,1.700e+01,4.684e-01,4.595e-01
1681659000,1.981e+01,1.000e+00,5.354e-01,2.705e-02
1681659600,1.000e+00,8.501e+00,2.705e-02,2.298e-01
1681660200,1.000e+00,4.001e+00,2.705e-02,1.081e-01
1681660800,2.236e+01,1.000e+00,6.043e-01,2.705e-02
1681661400,4.240e+00,1.050e+01,1.146e-01,2.838e-01
1681662000,6.440e+00,6.501e+00,1.741e-01,1.757e-01
1681662600,8.640e+00,1.000e+00,2.335e-01,2.705e-02
1681663200,6.440e+00,1.250e+01,1.741e-01,3.379e-01
1681663800,1.762e+01,1.000e+00,4.761e-01,2.705e-02
1681664400,1.525e+01,1.250e+01,4.122e-01,3.379e-01
1681665000,2.001e+01,1.000e+00,5.409e-01,2.705e-02
1681665600,4.306e+00,2.000e+00,1.164e-01,2.705e-02
1681666200,1.313e+01,5.001e+00,3.549e-01,1.352e-01
1681666800,1.531e+01,7.001e+00,4.138e-01,1.892e-01
1681667400,1.766e+01,1.250e+01,4.772e-01,3.379e-01
1681668000,1.756e+01,1.000e+00,4.745e-01,2.705e-02
1681668600,1.533e+01,4.501e+00,4.142e-01,1.216e-01
1681669200,1.712e+01,7.001e+00,4.626e-01,1.892e-01
1681669800,1.308e+01,7.501e+00,3.536e-01,2.027e-01
1681670400,6.495e+00,3.495e+00,1.755e-01,9.445e-02
1681671000,1.083e+01,1.000e+00,2.928e-01,2.705e-02
1681671600,1.083e+01,1.000e+00,2.928e-01,2.705e-02
1681672200,2.106e+00,1.300e+01,5.692e-02,3.514e-01
1681672800,1.084e+01,1.000e+00,2.931e-01,2.705e-02
1681673400,4.306e+00,4.001e+00,1.164e-01,1.081e-01
1681674000,1.296e+01,9.501e+00,3.502e-01,2.568e-01
